"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"75","Petróleo, Gás e Biocombustíveis",2013,0.903699999999999,0.0448669336940267,1.0770830573888,0.0712778247262085,0.973359958962257
"76","Telecomunicação / Telefonia Fixa",2013,0.744899999999999,0.163985659209619,1.18897988611726,0.146202598210087,0.885671117168746
"77","Telecomunicação / Telefonia Móvel",2013,0.837699999999999,0.0168708706080647,1.1044942238484,0.045538606760669,0.925234811317803
"78","Utilidade Públ / Água Saneamento",2013,0.850399999999999,0.0243204121800556,1.08917621086731,0.0727725286010461,0.926235449721559
"79","Bens Indls / Mat Transporte",2014,0.752899999999999,0.408580270903088,1.16643197566523,0.247814451959601,0.87820663447835
"80","Cons N Cíclico / Bebidas",2014,0.800799999999999,0.0561992892796131,1.13422900633827,0.0716360968498727,0.908290588275685
"81","Cons N Cíclico / Fumo",2014,0.789099999999999,0.00853985428092205,1.12836213575316,0.0361451837912924,0.890390561322817
"82","Cons N Cíclico / Pr Pessoal Limp",2014,0.6737,0.0436247958071273,1.29638710724971,0.0789002032775393,0.87337599415413
"83","Consumo Cíclico / Comércio",2014,0.7005,0.164916120574218,1.24827926167418,0.145592609069788,0.874419622802763
"84","Consumo Cíclico / Tecid Vest Calç",2014,0.749599999999999,0.0874034790359669,1.24145653103901,0.119568719105026,0.930595815666841
"85","Mats Básicos / Mineração",2014,0.724799999999999,0.0278267082370435,1.24244745054437,0.0662401115302848,0.900525912154558
"86","Mats Básicos / Químicos",2014,0.831299999999999,0.0317063025557721,1.10443037249015,0.0625624141927735,0.918112968651061
"87","Mats Básicos / Sid Metalurgia",2014,0.741899999999999,0.258078420961272,1.21352703434449,0.165200005603347,0.900315706780176
"88","Petróleo, Gás e Biocombustíveis",2014,0.6906,0.0938004593646071,1.28366504386038,0.124758097726764,0.886499079289978
"89","Telecomunicação / Telefonia Fixa",2014,0.754799999999999,0.283915124372127,1.17892190895604,0.201777860674683,0.889850256880018
"90","Telecomunicação / Telefonia Móvel",2014,0.838399999999999,0.050001647361081,1.11730981841394,0.0973770998409771,0.936752551758246
"91","Utilidade Públ / Água Saneamento",2014,0.779099999999999,0.0344124469435153,1.16267260223985,0.0628204618671119,0.905838224405066
