"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
11.59 23.565 20.5 38.67 6.62 23.19 21.05
11.275 23.055 21.35 38.08 6.41333333333333 22.99 21.07
11.425 22.9825 21 37.88 6.50833333333333 23.32 21.31
11.4 23.115 21.21 37.5 6.69833333333333 24.16 21.56
11.435 23.105 21.43 39.6 6.58333333333333 24.47 21.36
11.4 23.3575 21.91 40.57 6.64666666666667 25.02 21.55
11.715 23.54 22.32 40.13 6.63166666666667 24.26 20.9
11.645 23.4825 21.76 40.12 6.62833333333333 24.25 20.35
11.435 22.8225 21.22 39.53 6.525 24.52 19.6
11.535 23.4425 21.45 40.2 6.68666666666667 25.03 20.16
11.69 23.515 21.88 40.58 6.75833333333333 24.6 19.74
11.62 22.765 21.55 40.68 6.74666666666667 24.16 20.9
11.63 22.57 20.2 40.42 6.85666666666667 23.85 20.39
11.645 22.55 19.67 40.53 7.01 24.08 20.05
11.755 22.62 19.76 39.24 6.85666666666667 24.04 19.85
12 22.4 19.79 37.53 6.84166666666667 24.5 21.21
12.16 22.33 20.24 37.07 6.87 24.55 21.13
12.26 22.4275 20.01 37.1 7.14166666666667 24.85 20.85
12.26 21.805 20.08 36.3 6.96666666666667 25.03 20.69
12.23 21.845 20.09 37.58 6.98666666666667 26.36 20.3
12.04 21.7225 20.09 37 6.81833333333333 26.06 19.8
12.045 21.9575 20.19 36.35 6.65833333333333 26.04 19.5
11.92 21.145 20.05 35.76 6.345 25.41 18.89
12.02 21.0625 20.16 36.46 6.40166666666667 26.09 19
11.82 21.29 20.49 35.61 6.40666666666667 25.91 19.11
11.865 21.0725 20.44 35.88 6.325 25.73 19.14
11.905 20.86 20.7 35.49 6.34666666666667 25.5 18.86
11.98 20.925 20.01 34.87 6.17166666666667 25.8 20.39
12.11 20.965 20.34 36.39 6.16166666666667 25.99 20.17
11.91 20.6625 19.98 35.1 5.985 25.22 19.46
11.765 20.7225 19.79 34.86 6.10833333333333 25.11 19.31
11.875 20.86 19.9 34.54 6.37333333333333 25.52 19.9
12.235 21.07 20.31 35 6.41666666666667 25.39 20.28
12.255 21.1 20.21 35.34 6.38 25.19 20.33
12.26 21.0725 19.6 35.34 6.33333333333333 24.33 19.95
12.325 20.9675 19.61 35.14 6.55333333333333 24.55 20.14
12.355 21.3575 19.62 35.19 6.69166666666667 24.64 20.68
12.485 21.2375 19.64 34.79 6.56833333333333 23.93 20.67
12.585 21 19.3 34.02 6.70833333333333 23.97 20.68
12.7 20.7775 19.64 34.56 6.905 24.27 21.49
12.515 20.435 18.71 34.16 6.6 23.97 20.68
12.11 20.5 18.59 34.06 6.68 23.44 20.88
