"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"120","Cons N Cíclico / Fumo","2010.2",0.750399999999999,0.0797469669367627,1.19579489961859,0.112688209716155,0.897324492673789
"121","Cons N Cíclico / Pr Pessoal Limp","2010.2",0.6727,0.0683025987841471,1.26860311473345,0.0976016951485678,0.853389315281192
"122","Consumo Cíclico / Comércio","2010.2",0.6132,0.411000996849097,1.40975208435333,0.221663240197388,0.864459978125462
"123","Consumo Cíclico / Tecid Vest Calç","2010.2",1.1182,0.0572277972411503,0.956581344484458,0.0935256897394782,1.06964925940252
"124","Mats Básicos / Mineração","2010.2",0.758199999999999,0.0820360868010697,1.2463551364278,0.108919797117198,0.944986464439557
"125","Mats Básicos / Químicos","2010.2",0.794999999999999,0.142756794626141,1.13028257981807,0.158221060747144,0.898574650955365
"126","Mats Básicos / Sid Metalurgia","2010.2",0.6164,0.309090477074133,1.39329667150793,0.192122673863485,0.858828068317488
"127","Petróleo, Gás e Biocombustíveis","2010.2",0.835799999999999,0.0974904954949402,1.16173117755949,0.125185062266978,0.970974918204221
"128","Telecomunicação / Telefonia Fixa","2010.2",0.710199999999999,0.452230939741411,1.27378728415677,0.247997977212788,0.904643729208137
"129","Telecomunicação / Telefonia Móvel","2010.2",0.764599999999999,0.070897372928923,1.19812782626938,0.0878989729540014,0.916088535965567
"130","Utilidade Públ / Água Saneamento","2010.2",0.781399999999999,0.0962750537035071,1.19372058657585,0.0994709053207007,0.932773266350368
"131","Bens Indls / Mat Transporte","2010.3",1.5786,0.0843403857373859,0.672809607585474,0.0687646119557415,1.06209724653443
"132","Cons N Cíclico / Bebidas","2010.3",1.0328,0.199468869123818,0.891839895184848,0.170475795167056,0.921092243746911
"133","Cons N Cíclico / Fumo","2010.3",0.725999999999999,0.108023471851798,1.24051346482236,0.119617895234017,0.900612775461032
"134","Cons N Cíclico / Pr Pessoal Limp","2010.3",0.6662,0.0456485069662214,1.2944433477326,0.0923030474110196,0.862358158259458
"135","Consumo Cíclico / Comércio","2010.3",0.853699999999999,0.239902958961509,1.11745519163444,0.187555587777206,0.95397149709832
"136","Consumo Cíclico / Tecid Vest Calç","2010.3",0.7401,0.0495271610123969,1.24793626192698,0.0667986417030753,0.923597627452158
"137","Mats Básicos / Mineração","2010.3",0.896499999999999,0.0160462579318999,1.09510235172203,0.0384373796068271,0.981759258318799
"138","Mats Básicos / Químicos","2010.3",2.0092,0.0152506528199993,0.60532467180056,0.0543477748747022,1.21621833058169
"139","Mats Básicos / Sid Metalurgia","2010.3",0.6469,0.359759029248907,1.34477836110492,0.222697527119766,0.869937121798773
"140","Petróleo, Gás e Biocombustíveis","2010.3",0.7371,0.0361265498260857,1.22655406369045,0.0678222003703577,0.904093000346231
"141","Telecomunicação / Telefonia Fixa","2010.3",1.0681,0.0755809900497812,0.961178438864927,0.102164549498487,1.02663469055163
"142","Telecomunicação / Telefonia Móvel","2010.3",0.675,0.130013107413331,1.28342288619169,0.130467895616907,0.866310448179391
"143","Utilidade Públ / Água Saneamento","2010.3",0.760099999999999,0.0523931617130121,1.196140028201,0.0900028301849626,0.909186035435579
"144","Bens Indls / Mat Transporte","2010.4",0.710199999999999,0.436759228365176,1.23378458754811,0.259930072469858,0.876233814076667
"145","Cons N Cíclico / Bebidas","2010.4",0.6113,0.0556126780944871,1.30210132325558,0.0614599036934674,0.795974538906136
"146","Cons N Cíclico / Fumo","2010.4",0.5748,0.144573989098605,1.41470895832225,0.134398544409902,0.813174709243629
"147","Cons N Cíclico / Pr Pessoal Limp","2010.4",0.6262,0.07810747753827,1.29431559228887,0.0925240468724674,0.81050042389129
"148","Consumo Cíclico / Comércio","2010.4",0.6643,0.453265534521531,1.33063066068529,0.261878054603873,0.883937947893238
"149","Consumo Cíclico / Tecid Vest Calç","2010.4",8.54390000000001,0.0127283695795933,0.236697285371629,0.0481832625914571,2.02231793648666
"150","Mats Básicos / Mineração","2010.4",0.789499999999999,0.0335264575583893,1.16825742506864,0.0603464337961612,0.92233923709169
